codigo_municipio,nombre_municipio,codigo_departamento,LATITUD,LONGITUD
05004,Abriaquí,05,6.627569378,-76.08597756
95025,El Retorno,95,2.143447362,-72.24364869
95200,Miraflores,95,1.363974932,-72.01810951
97001,Mitú,97,1.06148231,-70.46688401
97161,Caruru,97,1.052762314,-71.33093035
97511,Pacoa,97,-0.00834364,-70.5433061
97666,Taraira,97,-0.719822209,-69.90776202
97777,Papunaua,97,1.569312273,-70.91166315
97889,Yavaraté,97,0.833312241,-69.61867754
99001,Puerto Carreño,99,5.836529669,-68.14122234
99524,La Primavera,99,5.517593607,-69.62044054
99624,Santa Rosalía,99,4.968581012,-70.65997097
99773,Cumaribo,99,4.262454746,-69.52140484
95001,San José del Guaviare,95,2.484286091,-71.91916993
94887,Pana Pana,94,1.981055294,-69.11440036
94886,Cacahual,94,3.38616245,-67.58507998
94885,La Guadalupe,94,1.404540273,-67.001518
94884,Puerto Colombia,94,2.582829542,-68.25799033
94883,San Felipe,94,2.312179782,-67.52060569
94343,Barranco Minas,94,3.140558454,-69.69713423
94001,Inírida,94,3.516363079,-68.00834728
91798,Tarapacá,91,-2.451794264,-70.00651535
91669,Puerto Santander,91,-1.101032624,-71.93893358
91540,Puerto Nariño,91,-3.631323222,-70.47199039
91536,Puerto Arica,91,-1.91085406,-71.1484049
91530,Puerto Alegría,91,-0.952145073,-73.75722748
91460,Miriti - Paraná,91,-0.687037553,-71.1855046
91430,La Victoria,91,-0.125016381,-71.10487805
91407,La Pedrera,91,-1.550256503,-69.94602815
91405,La Chorrera,91,-1.509799605,-72.44442966
91263,El Encanto,91,-1.997234795,-72.72361566
91001,Leticia,91,-3.530058784,-70.04513691
88564,Providencia,88,13.3511096,-81.37388549
88001,San Andrés,88,12.54311512,-81.71762382
86885,Villagarzón,86,0.911149515,-76.74495447
86865,Valle del Guamuez,86,0.42012589,-76.77067026
86760,Santiago,86,1.036021482,-76.97751684
86757,San Miguel,86,0.272449048,-76.84510459
86755,San Francisco,86,1.136071096,-76.84726661
86749,Sibundoy,86,1.228746922,-76.91307585
86573,Leguízamo,86,0.05947197,-75.06479327
86571,Puerto Guzmán,86,0.746432215,-75.88022979
86569,Puerto Caicedo,86,0.70416861,-76.49864415
86568,Puerto Asís,86,0.433884539,-76.52158203
86320,Orito,86,0.673756323,-76.94313923
86219,Colón,86,1.204815876,-76.97376805
86001,Mocoa,86,1.26070915,-76.66584349
85440,Villanueva,85,4.528307719,-72.82314281
85430,Trinidad,85,5.354527091,-71.25479519
85410,Tauramena,85,4.697463691,-72.62922436
85400,Támara,85,5.878927424,-72.20067822
85325,San Luis de Palenque,85,5.274955665,-71.81749276
85315,Sácama,85,6.049906435,-72.21076163
85300,Sabanalarga,85,4.81119011,-72.99580655
85279,Recetor,85,5.263068507,-72.77081831
85263,Pore,85,5.663194953,-71.92580806
85250,Paz de Ariporo,85,5.779915281,-70.86947037
85230,Orocué,85,4.915139133,-71.59873966
85225,Nunchía,85,5.529181235,-72.09251937
85162,Monterrey,85,4.841308642,-72.8473434
